tier,layout,profile,cameras,width_px,height_px,fps,compression,per_camera_mb_s,array_tb_hr,decision_band,rationale
Lean,Lean 16-Camera Preflight,4K 17:9 24fps LQ,16,4096,2160,24,LQ,62,3.571,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Lean,Lean 16-Camera Preflight,5K 17:9 24fps MQ,16,5120,2700,24,MQ,108,6.221,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Lean,Lean 16-Camera Preflight,6K 17:9 24fps LQ,16,6144,3240,24,LQ,110,6.336,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Lean,Lean 16-Camera Preflight,6K 17:9 24fps MQ,16,6144,3240,24,MQ,155,8.928,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Lean,Lean 16-Camera Preflight,6K 17:9 48fps MQ,16,6144,3240,48,MQ,310,17.856,balanced_recommended,"Best balance of data rate, full-sensor spatial detail, and motion sampling for one performer."
Lean,Lean 16-Camera Preflight,6K 17:9 60fps HQ,16,6144,3240,60,HQ,560,32.256,expensive_special_case,High data-rate profile (32.3 TB/hr est.); reserve for shots where motion or occlusion risk justifies it.
Lean,Lean 16-Camera Preflight,6K 16:9 60fps HQ,16,6144,3456,60,HQ,560,32.256,expensive_special_case,High data-rate profile (32.3 TB/hr est.); reserve for shots where motion or occlusion risk justifies it.
Recommended,Recommended 24-Camera Two-Tier Ring,4K 17:9 24fps LQ,24,4096,2160,24,LQ,62,5.357,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Recommended,Recommended 24-Camera Two-Tier Ring,5K 17:9 24fps MQ,24,5120,2700,24,MQ,108,9.331,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Recommended,Recommended 24-Camera Two-Tier Ring,6K 17:9 24fps LQ,24,6144,3240,24,LQ,110,9.504,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Recommended,Recommended 24-Camera Two-Tier Ring,6K 17:9 24fps MQ,24,6144,3240,24,MQ,155,13.392,balanced_recommended,"Best balance of data rate, full-sensor spatial detail, and motion sampling for one performer."
Recommended,Recommended 24-Camera Two-Tier Ring,6K 17:9 48fps MQ,24,6144,3240,48,MQ,310,26.784,balanced_recommended,"Best balance of data rate, full-sensor spatial detail, and motion sampling for one performer."
Recommended,Recommended 24-Camera Two-Tier Ring,6K 17:9 60fps HQ,24,6144,3240,60,HQ,560,48.384,expensive_special_case,High data-rate profile (48.4 TB/hr est.); reserve for shots where motion or occlusion risk justifies it.
Recommended,Recommended 24-Camera Two-Tier Ring,6K 16:9 60fps HQ,24,6144,3456,60,HQ,560,48.384,expensive_special_case,High data-rate profile (48.4 TB/hr est.); reserve for shots where motion or occlusion risk justifies it.
Premium,Premium 36-Camera Dense Ring,4K 17:9 24fps LQ,36,4096,2160,24,LQ,62,8.035,lowest_data_viable,Lowest-data profile that still keeps the full 6K sensor area for layout validation.
Premium,Premium 36-Camera Dense Ring,5K 17:9 24fps MQ,36,5120,2700,24,MQ,108,13.997,balanced_recommended,"Best balance of data rate, full-sensor spatial detail, and motion sampling for one performer."
Premium,Premium 36-Camera Dense Ring,6K 17:9 24fps LQ,36,6144,3240,24,LQ,110,14.256,balanced_recommended,"Best balance of data rate, full-sensor spatial detail, and motion sampling for one performer."
Premium,Premium 36-Camera Dense Ring,6K 17:9 24fps MQ,36,6144,3240,24,MQ,155,20.088,balanced_recommended,"Best balance of data rate, full-sensor spatial detail, and motion sampling for one performer."
Premium,Premium 36-Camera Dense Ring,6K 17:9 48fps MQ,36,6144,3240,48,MQ,310,40.176,motion_resilience,"Use when fast action, cloth, props, or occlusion risk justify the higher data rate."
Premium,Premium 36-Camera Dense Ring,6K 17:9 60fps HQ,36,6144,3240,60,HQ,560,72.576,motion_resilience,"Use when fast action, cloth, props, or occlusion risk justify the higher data rate."
Premium,Premium 36-Camera Dense Ring,6K 16:9 60fps HQ,36,6144,3456,60,HQ,560,72.576,motion_resilience,"Use when fast action, cloth, props, or occlusion risk justify the higher data rate."
